"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","08-JUN-26","07-JUN-26","16:00:00Z","ST GEORGE","UTAH","UNITED STATES","AIRCRAFT EXPERIENCED LEFT ENGINE FAILURE DURING A GO-AROUND, PILOT ATTEMPTED TO LAND ON TAXIWAY AND GEAR COLLAPSED, ST GEORGE, UT.","ACCIDENT","SALT LAKE CITY FSDO","N8390K","","","PIPER","PA44","No","SUBSTANTIAL","PERSONAL","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-26","06-JUN-26","14:00:00Z","WARRENTON","VIRGINIA","UNITED STATES","AIRCRAFT EXPERIENCED AN ENGINE FAILURE RESULTING IN CRANKSHAFT AND PROP SEPARATING AND LANDED SAFELY, WARRENTON, VA.","INCIDENT","WASHINGTON FSDO","N98RJ","","","NORTH AMERICAN","SNJ-5C","No","MINOR","PERSONAL","UNKNOWN (UNK)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-26","02-JUN-26","21:00:00Z","DALLAS","TEXAS","UNITED STATES","AIRCRAFT STRUCK FOD DURING TAKEOFF AND POST FLIGHT INSPECTION REVEALED DAMAGE TO THE WHEEL PAN, DALLAS, TX.","INCIDENT","NORTH TEXAS FSDO","N362JV","","","COLUMBIA AIRCRAFT","LC41-550FG","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-26","05-JUN-26","18:26:00Z","EL CAJON","CALIFORNIA","UNITED STATES","AIRCRAFT LANDED AND ENCOUNTERED A WIND GUST PICKING UP THE LEFT WING FORCING THE RIGHT WING TO STRIKE A RUNWAY LIGHT, EL CAJON, CA.","INCIDENT","SAN DEIGO FSDO","N363SS","","","CUBCRAFTERS","CCX-2000","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-26","07-JUN-26","15:26:00Z","DIAMOND LAKE","OREGON","UNITED STATES","AIRCRAFT LANDED ON A ROAD DUE TO OIL PRESSURE, DIAMOND LAKE, OR.","INCIDENT","PORTLAND FSDO","N384EA","","","CESSNA","T182","No","MINOR","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-26","05-JUN-26","13:15:00Z","LEESBURG","FLORIDA","UNITED STATES","AIRCRAFT VEERED OFF RUNWAY ON TAKEOFF DUE TO LEFT BRAKE LOCKING UP, LEESBURG, FL.","INCIDENT","ORLANDO FSDO","N438EL","","","CESSNA","421","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-26","06-JUN-26","16:50:00Z","VERO BEACH","FLORIDA","UNITED STATES","AIRCRAFT LANDED AND VEERED OFF RUNWAY INTO THE GRASS, VERO BEACH, FL.","INCIDENT","ORLANDO FSDO","N559PU","SFY552","SKYBORNE AIRLINE ACADEMY","PIPER","PA28","No","UNKNOWN","FAR 141 PILOT SCHOOL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-26","06-JUN-26","15:40:00Z","GARY","INDIANA","UNITED STATES","AIRCRAFT VEERED OFF RUNWAY DUE TO A BLOWN TIRE, GARY, IN.","INCIDENT","GREATER CHICAGO FSDO","N747G","","","RAYTHEON","A36","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-26","05-JUN-26","19:01:00Z","MIAMI","FLORIDA","UNITED STATES","AIRCRAFT GEAR COLLAPSED AFTER LANDING, MIAMI, FL.","INCIDENT","SOUTH FLORIDA FSDO","N750DL","","","LANCAIR","IVP","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-26","05-JUN-26","12:05:00Z","MIAMI","FLORIDA","UNITED STATES","AIRCRAFT NOSE WHEEL SEPARATED ON LANDING, MIAMI, FL.","INCIDENT","SOUTH FLORIDA FSDO","N902AZ","","","CESSNA","172","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-JUN-26","08-JUN-26","19:15:00Z","LYNCHBURG","SOUTH CAROLINA","UNITED STATES","AIRCRAFT STRUCK A POWER LINE AND IMPACTED TERRAIN, LYNCHBURG, SC.","ACCIDENT","COLUMBIA FSDO","N144CD","","","ROBINSON","R44","No","SUBSTANTIAL","AERIAL APPLICATION","MANEUVERING (MNV)","137","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
